"X","Twitter_Handle","Sex","Tweet_id","Created_at","Text","Favorite_count","Retweet_count","Hashtags","User_mentions"
"1728","MarkJonesESPN","M","7.11953E+17","3/21/16 16:28","I love @CubsJoeMadd only dress code rule for players ""If you think you look hot,wear it""_�ԍ_ُ_",3,4,"","CubsJoeMadd"
"885","Real_T_Mac","M","2.75827E+17","12/4/12 5:00","@BossCloss33 Everything is good.",0,0,"","BossCloss33"
"1467","HeatherCoxNBC","F","3.88674E+17","10/11/13 14:33","���@PeteCarroll: It couldn't be more obvious how one man could elevate a program! Nice ups @CoachOUSC! �۝ pic says it all",4,1,"","PeteCarroll"
"133","HeatherCoxNBC","F","7.61567E+17","8/5/16 14:18","Tonight's the Night! _��ǉϬ @NBCOlympics ",17,3,"","NBCOlympics"
"1114","DavePasch","M","6.06217E+17","6/3/15 21:54","Word has traveled as far as Europe on what it's like working with @BillWalton. #vacation ",37,22,"vacation","BillWalton"
"921","AleMorenoESPN","M","5.55818E+17","1/15/15 20:06","Listening to ideas for @CBurleyESPN tattoo now that Torres has scored! Not once but twice! We are open minded @ESPNFC ,please be creative!!!",74,47,"","CBurleyESPN"
"1359","sagesteele","F","6.97863E+17","2/11/16 19:23","@mashfan0678 @NBA lol!",0,0,"","mashfan0678"
"352","notthefakeSVP","M","7.87507E+17","10/16/16 4:16","@Capecod16 @ClayTravis @ColinCorson who gets angry about trombone tweets?",4,0,"","Capecod16"
"1249","kylemartino","M","7.27882E+17","5/4/16 15:24","I asked Nesta one time who was the best he played against. He said ""Ronaldo...the real one.""  ",30,13,"",""
"2058","KeithCostigan","M","7.59875E+17","7/31/16 22:13","@oldmanprop _�_�",0,0,"","oldmanprop"
"646","lindsayczarniak","F","5.53686E+17","1/9/15 22:51","John Anderson and I wrapping up the week on @SportsCenter at 6. See ya soon. #welovefortworth ",81,6,"welovefortworth","SportsCenter"
"2010","EqualizerSoccer","F","7.54807E+17","7/17/16 22:38","GOAL! Sky Blue lead 3-1. #BOSvNJ  ",7,3,"BOSvNJ",""
"1411","MarkJonesESPN","M","7.28391E+17","5/6/16 1:09","@bballbreakdown totally agree_���",10,1,"","bballbreakdown"
"3099","robbiemustoe","M","2.77797E+17","12/9/12 15:27","Fergie's wee ""jump for joy"" my highlight.",2,13,"",""
"1551","HeatherCoxNBC","F","3.35836E+17","5/18/13 19:14","Thanks @MarioAndretti @jamielittleespn @lindsayczarniak and Chuck Pagano for an amazing day #indy500 ",3,2,"indy500","MarioAndretti"
"130","kate_abdo","F","5.97101E+17","5/9/15 18:08","Breast cancer kills 450,000+ people a year. Mothers, sisters, daughters, friends, colleagues. Please get behind this ",39,24,"",""
"1652","RobStoneONFOX","M","7.3928E+17","6/5/16 2:16","@Neuromancer2000 its fine coming out of here....may be your provider",1,0,"","Neuromancer2000"
"2892","BobLeyESPN","M","4.47894E+17","3/24/14 0:33","@MenInBlazers @kylemartino @SiriusXMFC  sex, lithe and videotape?",8,3,"","MenInBlazers"
"2078","HannahStormESPN","F","6.84156E+17","1/4/16 23:35","Thinking so much of @StuartScott today... and all of those who loved him.",170,32,"","StuartScott"
"1833","marckestecher","M","4.22931E+17","1/14/14 3:21","Somebody forgot to tell Boston College that they're 5-11. Dominating number 2 Syracuse early 2nd half -- now up 8 points #espnu",0,1,"espnu",""
"2807","RobStoneONFOX","M","7.02272E+17","2/23/16 23:19","@ariellec @LAGalaxy It's a South Bay thing-don't take it personally.",1,0,"","ariellec"
"57","marckestecher","M","7.82648E+17","10/2/16 18:26","The man of the hour has taken the field for a pregame ceremony at Fenway Park. @MLBonESPNRadio coverage of  Red Sox��_ ",0,0,"","MLBonESPNRadio"
"2386","AbbyWambach","F","3.00407E+17","2/10/13 0:53","And my room dog @sydneyleroux getting that goal at the end. Man, you deserved that one with the spills you took out there. #earningrespect",250,103,"earningrespect","sydneyleroux"
"789","MarkJackson13","M","5.78663E+17","3/19/15 21:01","���@seanebp9: �۝@MarkJackson13: Hand Down Man Down!!!!!
��� By man down you mean the coach right?�۝��_YES!",40,45,"","MarkJackson13"
"2966","BobLeyESPN","M","4.40255E+17","3/2/14 22:38","@chriszop what�۪s that?  i was distracted by my choice of wines and cheese��_��_��_",0,0,"","chriszop"
"2852","catwhitehill4","F","3298841729","8/14/09 1:49","just ate dinner with @cbrennansports plus @awambach_dc, @shuffman_dc and bri scurry!  soo fun and great discussions about women in sports!",0,0,"","cbrennansports"
"2377","BobLeyESPN","M","5.13147E+17","9/20/14 2:04","@JimmyTraina Hence, Grover Cleveland's non-consecutive terms as POTUS.  Jersey guy, too.",2,0,"","JimmyTraina"
"2811","RebeccaLobo","F","4.35749E+17","2/18/14 12:12","@NoMas3781 Geographic proximity is part of the committee's ""policy and procedures"". It's time for those to change.",1,0,"",""
"2501","sagesteele","F","6.41649E+17","9/9/15 16:28","@Maxwellhouse238 @FieldYates LOL!  That's what happens when you look 17, years old, Field!  No worries, we're all just jealous...",1,0,"","FieldYates"
"656","AlexiLalas","M","7.77537E+17","9/18/16 15:56","Another #AskAlexi @periscopeco coming up. Toronto stye.",4,0,"AskAlexi","periscopeco"
"2865","MarkJonesESPN","M","6.36155E+17","8/25/15 12:36","Whoa ? Kenya has 400m hurdlers now ? Hmmmmm. Oooooookay",0,1,"",""
"1672","MichelleDBeadle","F","6.87679E+17","1/14/16 16:53","Not sure how smart it is...but I'm pumped! @SteveKrak",52,3,"","SteveKrak"
"2279","SteveBowercomm","M","4.42395E+17","3/8/14 20:21","Huge win for Cardiff  , was impressed again with Caulker- every min of every PL game this season, less so with Fulham's record buy mitroglu",0,0,"",""
"792","catwhitehill4","F","3.78333E+17","9/13/13 1:44",".���@UNCwomensSoccer: Big shout out to Anson  Dino! Tonight marked their 750th win�۝ proud to b a part of just a few... #impressive #bestever",2,3,"impressive","UNCwomensSoccer"
"416","catwhitehill4","F","5.45688E+17","12/18/14 21:11","Way to go @AlyssaNaeher #firstcap #USWNT !",22,10,"firstcap","AlyssaNaeher"
"1609","JalenRose","M","7.13394E+17","3/25/16 15:54","@bmoreno76 Much appreciated! #gtgtpwtw",2,0,"gtgtpwtw","bmoreno76"
"1856","notthefakeSVP","M","7.58514E+17","7/28/16 4:05","@JbSmeg I'm totally apolitical. But keep using the word ""libtard"". Makes you sound super sharp.",48,1,"","JbSmeg"
"1260","notthefakeSVP","M","7.71583E+17","9/2/16 5:40","@JAE655 dunno. But he's something else. Tiny little man who fancies himself King Kong. It's a joke.",3,1,"","JAE655"
"2139","The2RobbiesNBC","M","5.49943E+17","12/30/14 15:00","Serious Man UTD fans who have a degree in finance, this is for you!
Excellent $ analysis from The Swiss Ramble.

",7,1,"",""
"2726","stephenbardo","M","5.4238E+17","12/9/14 18:06","@Buganski @wischlist @TheStevenBerger it takes years of winning to become attractive to Top 5 talent. U of I grown stale",1,0,"","buganski"
"2747","arlowhite","M","6.53573E+17","10/12/15 14:07","An honour meeting the great Al Michaels last night. He couldn't have been nicer or more generous with his time. #SNF ",119,18,"SNF",""
"644","AlexiLalas","M","7.78273E+17","9/20/16 16:43","Another #AskAlexi @periscopeco coming up.",3,0,"AskAlexi","periscopeco"
"2533","AbbyWambach","F","2.91064E+17","1/15/13 6:06","���@RocDevo: ���@Tracy_Goss: @jwambach5 pictured her are 14 of Abby's 20 nieces and nephews. Cute pic of the girls J!! �۝ Yup",45,1,"","RocDevo"
"1889","RebeccaLobo","F","5.35962E+17","11/22/14 1:03","@tollick Probably have the production facilities in-house and therefore don't need a truck.",0,0,"","tollick"
"2520","katemarkgraf","F","1.8866E+17","4/7/12 16:10","@EeshFerguson Oops, just threw up a bit.",0,0,"","EeshFerguson"
"926","TaylorTwellman","M","7.71494E+17","9/1/16 23:44","Pumped for the 2016 @KSFilmFest in NY Sept. 13-16. Promo code: TAYLOR for my discount. _��__�ա_�_�  ",13,6,"","KSFilmFest"
"2153","AbbyWambach","F","3.24585E+17","4/17/13 18:07","���@MeyersMusings: There was an @AbbyWambach sighting last night at a restaurant located in Hamburg, NY.�۝ It was chipotle!! So yummy",69,6,"","MeyersMusings"
"1513","MichelleDBeadle","F","6.95134E+17","2/4/16 6:36","@kumailn 3 different sizes. Life changing.",16,0,"","kumailn"
"679","KeithCostigan","M","7.82627E+17","10/2/16 17:02","@ramos_jerry bit of a weird decision    Agreed.  Even if it was a knock still changed shape of team bringing on an attacker instead",0,0,"","ramos_jerry"
"976","HannahStormESPN","F","7.4018E+17","6/7/16 13:52","And @Shaq didn't deny it! #Lakers  ",28,12,"Lakers","SHAQ"
"3100","SteveBowercomm","M","2.73092E+17","11/26/12 15:51","@StephenCook22 @kellycates we ve seen your City one....",0,0,"","KellyCates"
"176","sportsiren","F","7.88432E+17","10/18/16 17:29","So honored to support Coach @Todd_Blackledge  his team. Hope you will join us! Can'ton wait!!!! @HooverHoops ",46,18,"","Todd_Blackledge"
"1360","HannahStormESPN","F","7.17014E+17","4/4/16 15:39","John Kruk tells @mets fans not to worry after the opener..
 ",6,2,"","Mets"
"954","catwhitehill4","F","3.33321E+17","5/11/13 20:40","Watchin Sister Act before our game! Yes I am in an even better mood now! #nothingyoucansaycantakemeawayfrommyGod",4,0,"nothingyoucansaycantakemeawayfrommyGod",""
"1456","catwhitehill4","F","1.91579E+17","4/15/12 17:30","Braised short rib, fontina, caramelized onions-thx @RoxysGrilledChz !! Delicious!! ",1,0,"","RoxysGrilledChz"
"388","mbretosESPN","M","7.82237E+17","10/1/16 15:13","Damn you goal line technology. #WestHam 0 #Middlesbrough 1 ",5,1,"WestHam",""
"1356","MarkJonesESPN","M","7.29907E+17","5/10/16 5:33","So Curry Goin to the glass for put backs too ? Okay then. Warriors up 2",7,1,"",""
"1371","catwhitehill4","F","2.14072E+17","6/16/12 19:06","Beach bums ",3,1,"",""
"322","JalenRose","M","7.67528E+17","8/22/16 1:04","@TheMavsQueen yes! Ha!",3,1,"","TheMavsQueen"
"3117","SteveBowercomm","M","2.71327E+17","11/21/12 18:57","@OllieHolt22 balotelli back injury",0,0,"","OllieHolt22"
"2836","EricWynalda","M","7.31598E+17","5/14/16 21:32","Nah- way too much traffic _��� ",4,1,"",""
"456","LaChinaRobinson","F","7.86313E+17","10/12/16 21:11","YAAAAAASSSSSSSS_٪� @CuseWBB��_ ",0,1,"","CuseWBB"
"253","JulieFoudy","F","7.67064E+17","8/20/16 18:21","Love my office today. @usabasketball women go for 6th (yes 6th) consecutive Olympic Gold medal. #respect ",222,17,"respect","usabasketball"
"1188","sagesteele","F","7.10944E+17","3/18/16 21:39","@MeeraManek I would do the same thing every time bc it was a celeb basketball game, ppl watch for fun, not political statements!",2,0,"","MeeraManek"
"1055","KeithCostigan","M","7.7592E+17","9/14/16 4:50","We shall agree to disagree. Media has a tendency to build players up too quickly.  Why coaches do this sort of thing ",3,0,"",""
"2436","sagesteele","F","6.47654E+17","9/26/15 6:07","@daroos1 thx...good to be back!",1,0,"","daroos1"
"649","marckestecher","M","6.53667E+17","10/12/15 20:21","There's something about elimination games that awakens the Royals. Tied in the 8th.",1,0,"",""
"2220","EqualizerSoccer","F","7.51853E+17","7/9/16 18:56","SUB: @alikrieger on for @alexmorgan13 in the 68th minute. O'Hara moves up to the front line.",43,4,"","alikrieger"
"1251","lindsayczarniak","F","3.48196E+17","6/21/13 21:48","Happy Friday!!! The NBA champs plus the latest on the Aaron Hernandez investigation. Join us on @SportsCenter at 6!",4,2,"","SportsCenter"
"998","SteveBowercomm","M","6.37283E+17","8/28/15 15:16","That's how you made the cut? #bigbartab ",0,0,"bigbartab",""
"942","EqualizerSoccer","F","7.74284E+17","9/9/16 16:29","Spirit made all the wrong moves in preventing Rapinoe's kneel, @TheDanLauletta writes:  #NWSL ",26,4,"NWSL","TheDanLauletta"
"2575","MichelleDBeadle","F","6.44335E+17","9/17/15 2:21","So. Many. Red. Power. Ties. #GOPDebate",323,108,"GOPDebate",""
"98","tonysocc","M","6.20054E+17","7/12/15 2:17","@NESoccerJournal -Good job Eric  team editing my REFLECTIONS doc. It's a fun read  brought back memories from the WC  36 days in Canada.",2,2,"","NESoccerJournal"
"2575","catwhitehill4","F","11109883174","3/26/10 21:08","@maire_ryan thank you so much. i heard about this article and have been trying to find it! http://is.gd/b0D5S",0,0,"","maire_ryan"
"1160","HannahStormESPN","F","7.25438E+17","4/27/16 21:33","@CubsJoeMadd has lots to say to those accusing @JArrieta34 of PED use. Tonight on @SportsCenter ",5,0,"","CubsJoeMadd"
"2213","MichelleDBeadle","F","6.64271E+17","11/11/15 2:39","Shout out to Candy Crush. #RepublicanDebate",214,46,"RepublicanDebate",""
"48","GrantWahl","M","7.95007E+17","11/5/16 20:57","@Rich_Lori thanks!",0,0,"","Rich_Lori"
"472","RobStoneONFOX","M","7.78281E+17","9/20/16 17:13","This wins the day #Brangelina ",2164,1158,"Brangelina",""
"1619","HannahStormESPN","F","7.05961E+17","3/5/16 3:38","ICYMI: Here's what I posted yesterday... ",11,4,"",""
"3138","robbiemustoe","M","2.70878E+17","11/20/12 13:15","",0,2,"",""
"1087","JalenRose","M","7.30942E+17","5/13/16 2:03","@Zeyah_daotha Ha! #respect",0,1,"respect","Zeyah_daotha"
"2806","KeithCostigan","M","7.49341E+17","7/2/16 20:37","Cool as you like.   Never rule out the Italians",8,1,"",""
"1495","AleMorenoESPN","M","4.54703E+17","4/11/14 19:31","@CRisElcuervo07 Come on now! Estadio de San Lorenzo de Almagro, el Gasometro, now ""Boedo"".The fencing  color give it away! #knowledge",0,0,"knowledge",""
"2003","MarkJonesESPN","M","6.93589E+17","1/31/16 0:17","Anything is possible if the 76ers can play the Warriors to a 115-115 tie with 22 seconds to go. _���",7,10,"",""
"743","KeithCostigan","M","7.81733E+17","9/30/16 5:52","@FameToClaim assume you don't listen then.   Cover more MLS games than anyone and research every single game.",0,0,"","FameToClaim"
"275","AbbyWambach","F","7.42895E+17","6/15/16 1:42","Couldn't be prouder!! ",270,30,"",""
"1783","catwhitehill4","F","1.14676E+17","9/16/11 12:23","@EeshFerguson @leslieosborne12 sounds like an amazing plan!!",0,0,"","EeshFerguson"
"2569","RebeccaLobo","F","4.67445E+17","5/16/14 23:22","@tollick Just saying I hope to go to Seattle for playoffs.",0,0,"","tollick"
"597","MichelleDBeadle","F","7.37488E+17","5/31/16 3:35","Would you ask the sun to stop shining? The waves to stop crashing? The birds to stop chirping?  ",582,46,"",""
"1256","GenoEspn","M","6.52911E+17","10/10/15 18:19","Have no idea how Oh St season will turn out, but it's learned an eternal truth: brutal to try to repeat as champs.",9,2,"",""
"286","sportsiren","F","7.81952E+17","9/30/16 20:22","ICYMI: you'll see tonight Washington is at the forefront of rugby style tackling. Here is piece I did last year ",15,6,"",""
"412","JSB_FOX","F","7.76137E+17","9/14/16 19:13","@isaacfromCT thanks Isaac! Maybe someday _��_",2,0,"","isaacfromCT"
"785","TaylorTwellman","M","7.75844E+17","9/13/16 23:49","Have always been a huge fan of the @opencup tournament because everyone is invited. Tune in tonight ESPN2 10pmET!!!! #FCDvNE #CupFinal",88,19,"FCDvNE","opencup"
"541","JalenRose","M","7.49085E+17","7/2/16 3:38","@RedLeader006 Appreciate the love! #respect",3,1,"respect","RedLeader006"
"2603","HannahStormESPN","F","6.55883E+17","10/18/15 23:07","@LandryJones12 is your good luck charm :) ",1,0,"","LandryJones12"
"1186","RobStoneONFOX","M","7.46867E+17","6/26/16 0:44","Why not ",13,1,"",""
"1045","JSB_FOX","F","7.51136E+17","7/7/16 19:28","Germany with good pressure this first half, creative in the final third just need to finish. #GERFRA",11,4,"GERFRA",""
"226","lindsayczarniak","F","6.98497E+17","2/13/16 13:22","Thank goodness for commercial breaks @craigmelvin !! @TODAYshow #ValentinesDay",57,0,"ValentinesDay","craigmelvin"
"3019","michaelsmith","M","7.4497E+17","6/20/16 19:08","@ZegTaylor sure seems like people were ready to see them fall. They managed to make LeBron the good guy. What does that say.",0,0,"","ZegTaylor"
"1969","AbbyWambach","F","3.51062E+17","6/29/13 19:38","���@sydneyleroux: He's such a little lover. #winkwink �۝",157,18,"winkwink","sydneyleroux"
"2090","The2RobbiesNBC","M","5.51499E+17","1/3/15 22:04","Reports in the USA claim Steven Gerrard's LA Galaxy deal is DONE! ",14,16,"",""
"2712","JalenRose","M","6.76207E+17","12/14/15 1:08","@tbledsoe90 same page #respect",0,0,"respect","tbledsoe90"
"2402","DavePasch","M","4.52947E+17","4/6/14 23:13","Wrestle Mania hasn't been the same since the days of Paul Orndorf. #mrwonderful",3,1,"mrwonderful",""
"988","KeithCostigan","M","7.76868E+17","9/16/16 19:37","#Hendinho",11,2,"Hendinho",""
"224","JalenRose","M","7.76111E+17","9/14/16 17:30","Check out @JalenandJacoby =&gt; Ted Cruz tweets at Jalen Rose!?  ",23,5,"","JalenandJacoby"
"8","AleMorenoESPN","M","7.94015E+17","11/3/16 3:16","Overmanaging! #WorldSeries",20,7,"WorldSeries",""
"431","BobLeyESPN","M","7.02959E+17","2/25/16 20:49","Who will lead FIFA? @AbbyWambach @JulieFoudy @TaylorTwellman @ShakaHislop @ESPN_JorgeRamos join me to discuss ",15,2,"","AbbyWambach"
"1987","catwhitehill4","F","7.96275E+16","6/11/11 19:14","Gameday!! #BeatSquad",1,1,"BeatSquad",""
"116","heydb","F","7.53228E+17","7/13/16 14:03","@marckestecher Marc- SO HAPPY for you#earned#well-deserved",0,0,"","marckestecher"
"3005","KeithCostigan","M","7.47514E+17","6/27/16 19:38","Anyone know the population of Iceland _�_�",8,1,"",""
"1180","RobStoneONFOX","M","7.46868E+17","6/26/16 0:48","In the winter ",8,0,"",""
"2090","RebeccaLobo","F","5.06609E+17","9/2/14 1:06","@tollick Can't happen soon enough!",0,0,"","tollick"
"1829","AleMorenoESPN","M","3.99541E+17","11/10/13 14:17","@GrantWahl Winning 3 Miss Universe out of the last 6 is not bad! Dynasty!...as for missing out on the World Cup...still hurts!",2,1,"","GrantWahl"
"445","friedel_b","M","5.75032E+17","3/9/15 20:35","@jonnyanthony88 you can get at .  Enjoy!",0,0,"","jonnyanthony88"
"2360","stephenbardo","M","5.62797E+17","2/4/15 2:17","Late start for Illini tonight. Good to see my man Kenny Battle! #flyinillini ",69,16,"flyinillini",""
"1267","GenoEspn","M","6.5289E+17","10/10/15 16:53","Utah campus was rocking this morning for GameDay. Thanks for the hospitality. And that new hoops/athletic facility? Wow.",127,54,"",""
"942","MarkJackson13","M","5.65663E+17","2/12/15 0:06","Praying for my former teammate Anthony Mason!!!",291,253,"",""
"1241","RobStoneONFOX","M","7.45774E+17","6/23/16 0:21","The #Chile offense is cooking...13 goals (and counting) in the last 2 and a half games. #COLvsCHI",23,8,"Chile",""
"2279","AleMorenoESPN","M","3.26187E+17","4/22/13 4:13","@JeannyVinotinto Quien no quisiera ser parte d la Vinotinto? Quisieramos estar en ese camerino, para estar, hay q merecerlo! #vinotinto4life",0,1,"vinotinto4life","JeannyVinotinto"
"266","GenoEspn","M","7.58426E+17","7/27/16 22:18","It could have been worse. It could have been off-court jai-alai betting place... ",1,1,"",""
"2158","lindsayczarniak","F","8.80702E+16","7/5/11 2:22","how badly do you want to see phenom Bryce Harper @BHaper34 with the Nats? today he took 1 step closer. We've got highlights tonight at 11pm",0,2,"",""
"241","tonysocc","M","2.67688E+17","11/11/12 18:01","Fastest Way To Lose Body Fat in (2) Weeks ",2,0,"",""
"3090","jemelehill","F","7.73311E+17","9/7/16 0:02","@Bpquigs well you are woefully naive",1,0,"","Bpquigs"
"466","MarkJackson13","M","6.35695E+17","8/24/15 6:09","��_Honored! U r 1 of the Best in the Land!",35,8,"",""
"2066","RobStoneONFOX","M","7.27185E+17","5/2/16 17:18","@BAbramsVoice loved it Meat. Not a horse guy but I listened to it all. Really well done and compelling stuff.",0,0,"","BAbramsVoice"
"2092","michaelsmith","M","7.60754E+17","8/3/16 8:26","@theGRANDtCAPPER whoa whoa never said it was a woman's work said the Mrs. liked to. And by that I mean she'll throw some chicken on there",0,0,"","theGRANDtCAPPER"
"298","MichelleDBeadle","F","7.59056E+17","7/29/16 16:00","@thEMANacho only because it was first thing in the morning. Give me a few hours.",8,1,"","thEMANacho"
"2352","stephenbardo","M","5.63192E+17","2/5/15 4:27","@HucktheFoosiers the few ignorant Boiler fans",1,0,"","HucktheFoosiers"
"1996","HannahStormESPN","F","6.90613E+17","1/22/16 19:13","ICYMI: @Panthers @LukeKuechly #FacetoFace on football..and fishing 
",23,7,"FacetoFace","Panthers"
"1440","notthefakeSVP","M","7.65648E+17","8/16/16 20:36","@Robert1288 we don't have golf. Sorry.",2,0,"","Robert1288"
"674","JalenRose","M","7.43655E+17","6/17/16 4:02","Saw the replay, Steph will obviously be fined but won't be suspended. #Game7 #NbaFinals",868,435,"Game7",""
"767","JalenRose","M","7.40148E+17","6/7/16 11:45","@RWFlintstone @JalenandJacoby Much appreciated! #respect",1,0,"respect","RWFlintstone"
"1576","catwhitehill4","F","1.57971E+17","1/13/12 23:41","Does anyone have any patriots/broncos tix they aren't using tom nite? For u pats fans I'll wear a sweater over my tebow jersey!",0,1,"",""
"2249","catwhitehill4","F","26859352467","10/9/10 16:54","Starting my first tailgate n south bend with @bamwins-corn hole games everywhere and lots of green! So fun! Can't wait for my first nd game!",0,0,"",""
"2111","Real_T_Mac","M","1.69482E+17","2/14/12 18:04","Here on the West Coast. Staples Center tonight.. #lakers",1,19,"lakers",""
"3196","arlowhite","M","6.347E+17","8/21/15 12:15","Sunday  Monday games for me this weekend, both mouthwatering; #EFC v #MCFC then #Arsenal v #LFC. @LeeDixon2 on double duty, both on @NBCSN",27,9,"EFC","LeeDixon2"
"2784","arlowhite","M","6.50727E+17","10/4/15 17:37","As good a 20 minute period of Football, in a big time game, that #AFC fans could have wished for. Alexis, Ozil, Walcott et al were brilliant",35,18,"AFC",""
"2034","BobLeyESPN","M","5.41278E+17","12/6/14 17:08","@PCarrESPN @tonysocc  It travels well",0,1,"","PCarrESPN"
"860","KeithCostigan","M","7.79879E+17","9/25/16 3:05","_�ԏ_�ԏ_�ԏ_�ԏ_�ԏ ",1,0,"",""
"1095","RobStoneONFOX","M","7.49359E+17","7/2/16 21:49","Poor sideburns ='s Missed PK's",71,13,"",""
"1598","catwhitehill4","F","1.54691E+17","1/4/12 22:28","Here's to thinking how we can make our lives better and this world a better place... #toagreat2012 ",0,2,"toagreat2012",""
"918","lindsayczarniak","F","4.68474E+17","5/19/14 19:32","Thx! Lookin frwrd to it!  RT @pacersfan124:  Congrats on your baby Lindsay! I look forward to hearing you on the radio today with @JMV1070�۝",8,0,"","JMV1070"
"500","arlowhite","M","7.60842E+17","8/3/16 14:17","Cool Video from @ussoccer_wnt: 'Behind the Crest: Ep. 1 - #USWNT in Brazil' ",7,2,"USWNT","ussoccer_wnt"
"1709","katemarkgraf","F","2.78876E+17","12/12/12 14:58","@LeslieOsborne12 shut it London Lady! Slightly average looking company u keep btw ;-).",0,0,"","LeslieOsborne12"
"21","katemarkgraf","F","7.85229E+17","10/9/16 21:23","@grahamhays onus on the league and Houston.",10,0,"","grahamhays"
"696","DavePasch","M","6.73152E+17","12/5/15 14:46","Getting ready for @BUFootball  Texas with ""press box analyst"" @TomLuginbill  @LauraMRutledge at Noon on ESPN ",13,4,"","BUFootball"
"2008","MarkJackson13","M","4.75853E+17","6/9/14 4:14","���@jordansaweirdo: RT @pan21897 �۝went in flour��_came out cake.���  @MarkJackson13�۝ ��_Words from @BishopJakes",20,13,"","jordansaweirdo"
"2434","arlowhite","M","6.66736E+17","11/17/15 21:52","Understandably low key but enjoyable game. England scored 2 super goals. Alli  Dier impressed. Pre-match memorable. #EngvFra #ViveLaFrance",20,8,"EngvFra",""
"795","EqualizerSoccer","F","7.76591E+17","9/16/16 1:17","Megan Rapinoe kneels for the national anthem for the first time in a USA jersey:  #USWNT ",49,19,"USWNT",""
"2610","JalenRose","M","6.805E+17","12/25/15 21:26","@alex_jamesss that was love! #respect",2,1,"respect","alex_jamesss"
"530","JalenRose","M","7.49664E+17","7/3/16 18:01","@MrGoldPackXL @MollyQerim Appreciate the love! #respect",5,1,"respect","MrGoldPackXL"
"1550","MarkJackson13","M","5.14902E+17","9/24/14 22:19","���@FullArmorCloth: Always stand taller than those who try to bring you down.�۝��_PREACH!",17,11,"",""
"1796","KeithCostigan","M","7.64192E+17","8/12/16 20:10","@hawk6260 yep.",0,0,"",""
"1551","warrenbarton2","M","7.33004E+17","5/18/16 18:40","Good luck �__��_�ԍ_ُ� ",1,1,"",""
"2485","arlowhite","M","6.63132E+17","11/7/15 23:12","Sir Stan. The Man. #SCFC #TheWizardOfDribble ",14,7,"SCFC",""
"579","TaylorTwellman","M","7.80586E+17","9/27/16 1:54","@BarstoolSam 1) I never asked a question 2) you are taking me WAY too seriously on this topic 3) don't call me amigo, homey etc.",4,0,"","BarstoolSam"
"2629","HannahStormESPN","F","6.55528E+17","10/17/15 23:36","I second that!! ",21,4,"",""
"2","kate_abdo","F","7.86502E+17","10/13/16 9:42","@LeslieOsborne12 You got mail! _���",5,0,"","LeslieOsborne12"
"3107","michaelsmith","M","7.43906E+17","6/17/16 20:39","@remmy1881 @jemelehill lol no shes playing a misdirection game with yall. Listen the LeBron pod before last. 4 games ago he was a failure",0,0,"","remmy1881"
"3006","KeithCostigan","M","7.47513E+17","6/27/16 19:34","Need to play through Sturridge.  He has looked really sharp",2,1,"",""
"872","HannahStormESPN","F","7.45287E+17","6/21/16 16:05","On #SCFaceToFace Jeremy Fowler on the @Colts teaching rookies proper dining etiquette. 
",5,3,"SCFaceToFace","Colts"
